,Name,Url,Rating,#Ratings,Price,Display Size,Refresh Rate,Resolution,Response Time,Manufacturer,Ports,Curved,Speakers,Height Adjustable
0,"Sceptre 24"" Professional Thin 75Hz 1080p LED Monitor 2x HDMI VGA Build-in Speakers, Machine Black (E248W-19203R Series)",https://www.amazon.com/Sceptre-E248W-19203R-Monitor-Speakers-Metallic/dp/B0773ZY26F/ref=sr_1_3?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1648946051&sprefix=computer+monitor%2Caps%2C192&sr=8-3,4.6 out of 5 stars,"17,572",$127.97,24 inches,60 hertz,1920x1080,5 milliseconds,Sceptre,"HDMI, VGA, DVI",False,True,False
1,"LG 34WP88C-B 34-inch Curved 21:9 UltraWide QHD (3440x1440) IPS Display with Ergo Stand (Extend/Retract/Swivel/Height/Tilt), USB Type C (90W Power delivery), DCI-P3 95% Color Gamut with HDR 10",https://www.amazon.com/LG-34WP88C-B-34-inch-Curved-UltraWide/dp/B09BP279HR/ref=sr_1_omk_4?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1648946051&sprefix=computer+monitor%2Caps%2C192&sr=8-4,4.6 out of 5 stars,954,$799.99,34 inches,60 hertz,3440x1440,5 milliseconds,LG,Type-C,True,True,True
2,"HP 23.8"" LED Backlit Monitor, Low Blue Light (V241ib, Black)",https://www.amazon.com/HP-Backlit-Monitor-Light-V241ib/dp/B09JL4W5CQ/ref=sr_1_5?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1648946051&sprefix=computer+monitor%2Caps%2C192&sr=8-5,4.7 out of 5 stars,500,$164.99,23.8 inches,76 hertz,1920x1080,14 milliseconds,HP,HDMI,False,False,False
3,"SAMSUNG 23.5” CF396 Curved Computer Monitor, AMD FreeSync for Advanced Gaming, 4ms Response Time, Wide Viewing Angle, Ultra Slim Design, LC24F396FHNXZA, Black",https://www.amazon.com/SAMSUNG-Computer-FreeSync-Advanced-LC24F396FHNXZA/dp/B079K3MXWF/ref=sr_1_6?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1648946051&sprefix=computer+monitor%2Caps%2C192&sr=8-6,4.7 out of 5 stars,"8,272",$149.99,23.5 inches,60 hertz,1920x1080,4 milliseconds,Samsung,HDMI,True,False,False
4,"Samsung T37F Series 27-Inch FHD 1080p Computer Monitor, 75Hz, IPS Panel, HDMI, Display Port, VESA Compatible, 3 Yr WRNTY (LF27T374FWNXGO)",https://www.amazon.com/Samsung-27-Inch-Computer-Compatible-LF27T374FWNXGO/dp/B08YGS5LJV/ref=sr_1_7?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1648946051&sprefix=computer+monitor%2Caps%2C192&sr=8-7,4.6 out of 5 stars,42,$204.99,27 inches,75 hertz,1920x1080,5 milliseconds,Samsung,"HDMI, Display Port",False,False,False
5,"CRUA 24"" Inch Curved Monitor FHD(1920×1080p) 75HZ,LED Ultra-Thin Computer Monitor for Home & Office, Frameless with Eye-Care,HDMI,VGA Port, Black",https://www.amazon.com/CRUA-1920%C3%971080p-Ultra-Thin-Computer-Frameless/dp/B09PH4LHY2/ref=sr_1_8?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1648946051&sprefix=computer+monitor%2Caps%2C192&sr=8-8,4.1 out of 5 stars,9,$129.99,23.8 inches,75 hertz,FHD 1080p,-,CRUA,"HDMI, VGA",True,False,False
6,HP V27i FHD Monitor | 27-inch Diagonal Full HD Computer Monitor with IPS Panel and 3-Sided Micro Edge Design | Low Blue Light Screen with HDMI and VGA Ports | (9SV92AA#ABA) Black,https://www.amazon.com/HP-V27i-Monitor-Diagonal-Computer/dp/B08G5R543L/ref=sr_1_9?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1648946051&sprefix=computer+monitor%2Caps%2C192&sr=8-9,4.7 out of 5 stars,203,$169.99,27 inches,60 hertz,1920x1080,5 milliseconds,Hewlett,"HDMI, VGA",False,False,False
7,"Sceptre 20"" 1600x900 75Hz Ultra Thin LED Monitor 2x HDMI VGA Built-in Speakers, Machine Black Wide Viewing Angle 170° (Horizontal) / 160° (Vertical)",https://www.amazon.com/Sceptre-E205W-16003R-Frameless-Speakers-Metallic/dp/B07743412C/ref=sr_1_10?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1648946051&sprefix=computer+monitor%2Caps%2C192&sr=8-10,4.5 out of 5 stars,"20,875",$109.71,20 inches,60 hertz,1600x900,5 milliseconds,Sceptre,"HDMI, VGA, DVI",False,True,False
8,HP 24mh FHD Monitor - Computer Monitor with 23.8-Inch IPS Display (1080p) - Built-In Speakers and VESA Mounting - Height/Tilt Adjustment for Ergonomic Viewing - HDMI and DisplayPort - (1D0J9AA#ABA),https://www.amazon.com/HP-24mh-FHD-Monitor-Built/dp/B08BF4CZSV/ref=sr_1_12?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1648946051&sprefix=computer+monitor%2Caps%2C192&sr=8-12,4.7 out of 5 stars,"20,797",$149.99,23.8 inches,75 hertz,1920x1080,5 milliseconds,Hewlett,"HDMI, VGA, DisplayPort",False,True,True
9,"Pisichen PC Monitor, 22 Inch Computer Monitor HD Screen 1600x1050 Gaming Monitor with HDMI & VGA Interfaces, Brightness 250 cd/m², 75Hz, 5ms, Dual Built-in Speakers",https://www.amazon.com/Pisichen-Computer-1600x1050-Interfaces-Brightness/dp/B09QYJB4KJ/ref=sr_1_13?crid=2HRQHDDQ8D5R0&keywords=computer+monitor&qid=1648946051&sprefix=computer+monitor%2Caps%2C192&sr=8-13,2.0 out of 5 stars,1,$109.99,22.0 inches,60 hertz,XGA+ Wide,5.00 milliseconds,Pisichen,"HDMI, VGA",False,True,False
